INDEX	INTERNEL_INDEX	ARTICLE_TITLE	PUBLICATION	LOCATION_COUNTRY	LOCATION_EXACT	LOCATION_TYPE	MONTH	YEAR	SERIOUSNESS	INCIDENT	INCIDENT-CRASH	INCIDENT-CRASH-WITH_ENVIRONMENT	TIME_OF_DAY	WEATHER	ROAD_SURFACE	VEHICLE_GENERAL	DRIVER_AGE	DRIVER_GENDER	DRIVER_NAT_LANG	DRIVER_LOCAL?	DISTRACTED	CAUSE_GIS	WRONG_ATTRIBUTES_BREAKDOWN	PERSISTENT	Link1
78	274	Bad moves for lorries caught in sat-nav trap	Gloucestershire Echo			Urban	12	2012	medium	crash	crash with environment	building/wall/guardrail/pole		no	paved road	truck					no	missing or incorrect attributes	road characteristics	Yes	
79	279	"Crunch! Oh, %#&@! (again)"	Lowell Sun (Massachusetts)	United States		Urban	11	2012	medium	crash	crash with environment	overhead bridge		no	paved road	truck					no	missing or incorrect attributes	clearance height	Yes	
80	283	Robotic faithful seemingly lost without digital navigation	Canberra Times (Australia)	United States	"@40.2534436,-74.3442871,16.95z"	Urban	5	2010	major-injury	crash	crash with vehicle			no	paved road	car	17	M	yes	no	no	missing or incorrect attributes	private area		http://www.nj.com/news/index.ssf/2010/05/driver_following_gps_direction.html
81	287	"Caltrain hits big rig in San Bruno, no injuries"	San Jose Mercury News (California)	United States		Urban	2	2013	medium	stranded/stuck			morning/afternoon	no	paved road	truck					no	missing or incorrect attributes	clearance height		
82	308	Little voice drives us to fatal distraction	Herald Sun (Australia)	Australia	"@-37.7374266,144.963204,19.86z"	Urban	9	2015	major-injury	crash	crash with vehicle		evening/night	no	road_for_other_transportation	car		M	yes		no	instruction/visualization			http://www.abc.net.au/news/2015-10-01/car-being-hit-by-train-after-gps-sends-onto-tracks/6818564
83	310	Satnav a headache for tourists	Irish Examiner	Ireland		Urban	7	2012	medium	crash	crash with environment	building/wall/guardrail/pole		no	paved road	car				no	no	missing or incorrect attributes	road characteristics		
84	321	GPS distraction blamed for Mendon pedestrian death	"Sentinel & Enterprise (Fitchburg, Massachusetts)"	United States		Urban	6	2013	major-death	crash	crash with pedestrian			no	paved road	car	19	F			yes				
85	322	Wrong turn leads to larger wrong; GPS misled him while taking his daughters to a party. Homeland Security prosecutor now has a new view on false accusations.	The Philadelphia Inquirer	United States		Urban	7	2014	low	detour				no	paved road	car	49	M		yes	yes	missing or incorrect attributes	private area		
86	327	"DID GIRL, 17, FAIL TO STOP AT A CROSSROADS BECAUSE SHE WAS RELYING ON HER NEW DRIVING AID?"	DAILY MAIL (London)	United Kingdom			10	2012	major-death	crash	crash with vehicle			no	paved road	car	17	F			no	instruction/visualization			
87	333	Luxe nomad	Sydney Morning Herald (Australia)	Italy			8	2014	low	stranded/stuck				no	dirt road	car			yes	no	no				
88	334	Defense attorney: criminal charges in Angeles Crest murder trial are 'imagined'	Pasadena Star-News (California)	United States		Rural	7	2011	major-death	crash	crash with environment	building/wall/guardrail/pole		no	dirt road	truck	43	M			no	missing or incorrect attributes	road characteristics		
89	337	LEARNER DAD LOSES HIS LITTLE PRINCESS IN SATNAV TRAGEDY	The Mirror	United Kingdom		Urban	2	2011	major-death	crash	crash with vehicle			no	paved road	car	33	M	yes		no	missing or incorrect attributes	traffic rule		
90	339	Down the motorway without a clue	The Star (South Africa)	South Africa		Urban	7	2015	low	wrong way				no	paved road	car	26	F			no	instruction/visualization			
91	358	BRIEF: Distracted driving blamed for head-on collision	"Sun Journal (New Bern, North Carolina)"	United States		Rural	9	2011	major-injury	crash	crash with vehicle			no	paved road	car	41	M			yes				
92	373		Canberra Times (Australia)	United States	"@60.7766427,-148.6858262,16.91z"	Urban	8	2012	medium	crash	crash with environment	water	evening/night	extreme	paved road	car		M	yes	no	no	missing or incorrect attributes	transit to ferry		https://www.thestar.com/news/world/2012/08/23/man_guided_by_gps_drives_off_ferry_into_harbour_in_alaska.html
93	399	wrong way go back	"Daily Examiner (Grafton, New South Wales)"	Australia		Rural	7	2011	low	stranded/stuck			evening/night	no	dirt road	car				no	no	incorrect routing preference			
94	414	Woman on holiday to fight her grief kills father in accident	"Waikato Times (Hamilton, New Zealand)"	New Zealand		Urban	3	2015	major-death	crash	crash with vehicle		morning/afternoon	no	paved road	car	39	F			yes				
95	415	Sellafield five blame satnav error for arrest	The Guardian - Final Edition	United Kingdom		Urban	5	2011	low	trespass			morning/afternoon	no	paved road	car	25	M		no	no	incorrect routing preference			
96	417	One killed in car-transport truck crash	The Telegraph-Journal (New Brunswick)	United Kingdom		Rural	4	2010	low	crash	crash with pedestrian		morning/afternoon	no	paved road	car					no	missing or incorrect geographic objects			
97	427	"SOBRIETY TESTS OUT, BUT BLOOD TEST OK; FATAL CAR CRASH"	"Wisconsin State Journal (Madison, Wisconsin)"	United States		Rural	4	2013	major-death	crash	crash with pedestrian			no	paved road	car	60	M			yes				
98	429	RICHARD KAY DIARY	DAILY MAIL (London)	United Kingdom		Rural	6	2011	medium	detour				no	paved road	car		F		yes	no				
99	431	"GPS to driver: Turn left into swamp, climb on roof"	The Toronto Star	United Kingdom		Rural	10	2010	medium	stranded/stuck				no	dirt road	car		F		no	no				
100	454	A KILLER TRUCKIE'S REMORSE	The Courier Mail (Australia)	Australia		Urban	2	2015	major-death	crash	crash with environment	overhead bridge	morning/afternoon	no	paved road	truck	40	M		no	yes	missing or incorrect attributes	clearance height		
101	461	Fancy a wedge with your drink? Sat-nav strikes again as drinks delivery falls flat	"Western Morning News (Plymouth, UK)"	United Kingdom		Urban	1	2011	medium	crash	crash with environment	building/wall/guardrail/pole		no	paved road	truck		M		no	no	missing or incorrect attributes	road characteristics		
102	497	"GPS mix-up led man to scuffle with off-duty St. Louis officer, which landed the man in jail, his lawsuit says"	St. Louis Post-Dispatch (Missouri)	United States		Urban	2	2014	low	trespass			morning/afternoon	no	paved road		33	M		no	no	toponym disambiguation			
